,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
41,385157,417611,426801,426879.5,445931,469881,476823,473692,492915,495861,523174,520395,507609,515390,536480,516597,523767,528299,515080.5,511762,511842.5
42,360018,384862.5,416479.5,423368,421848.5,441153.5,459441,473814,471263,487496,492734,519541,513716,503372,512590,533954,514065,525041.5,524772.5,512613.5,509260
43,349387,358018.5,382417,413598,418470,417199.5,419648,456432,469655,464706,484340,489019,512602,509465,500494,510111,531141,514786.5,522056,522130.5,509935
44,330264,348335.5,356718,379738,409021,414054,411520,416872,452669,464581,461347,480617,482398,507876,506306,497712,507553,517973,511480.5,519338.5,519283.5
45,318547.5,328885.5,346522,353706.5,375641,405255.5,413503,408773,415209,447229,461030,457672,474015,477838,504678,503458,494970,514434,514424.5,508592.5,516371
46,307526,316717.5,326861.5,343792,349861.5,372073,394235,410706,404636,408209,443794,456970,451058,469319,474653,501522,500484,496484,510984,511378,505562
47,283653.5,306031.5,315019.5,324271.5,340253.5,346607.5,347387,391774,406733,400046,404625,440085,450151,446594,465941,471456,498321,492372.5,492628.5,507780,508124
48,263397.5,281799.5,303731.5,312415.5,320931.5,337289.5,343750,345265,389887,402616,396720,400955,433287,445008,443186,462596,468286,494280,488915.5,489482.5,504453
49,245764.5,261608.5,279731,301022.5,308955,317957.5,328692,341542,343809,384642,399215,393004,394581,428128,441459,439847,459254,477032,489620,485457,485965
50,223050,243869.5,259607.5,277035.5,297274.5,305765.5,304943,326404,338169,338551,381276,395390,386583,389846,424498,437832,436356,458253,473061.5,485950.5,481854
51,217007.5,221058.5,241628.5,256875,273092.5,293616,303867,302668,323746,334622,335348,377524,388735,381647,386212,420815,434185,441104.5,453220.5,469255,482038
52,207966.5,214840,218746.5,238820,253058.5,269552.5,280588,301340,300224,319534,331298,331745,370590,383537,378071,382744,417081,429250.5,436862,449354,465195.5
53,205127,206232,212894,216083.5,235058,249441.5,255826,278111,297728,295916,316279,327735,325562,365381,379405,374416,379019,418883,424395.5,432941,445230
54,206711,202908.5,203801.5,210082.5,212481,231642.5,240447,253330,275621,294407,292671,312630,321479,320961,360929,375455,370718,390993,413558,420364.5,428830
55,193805,204830.5,201130.5,201156,206482,209216,220212,237887,251000,270893,290964,289029,306675,316620,316941,356776,371435,369060,386854.5,409339,416105.5
56,193297.5,191035,201694,197632,197136.5,202990,195693,217697,235127,246232,267499,287116,283174,301935,312500,313100,352670,362577.5,362375.5,382660.5,404847
57,193293.5,190448.5,188074.5,198733,194065,193788.5,207586,193347,215399,230968,242860,263831,281259,278568,297767,308534,309435,338981.5,341526,358146.5,378129
58,184079.5,190892,187972,184960.5,194576,190283.5,177297,204883,190891,210795,227704,239197,258050,276330,274605,293855,304553,306067,316097.5,337425.5,353709
59,175187,181384.5,187949,184466,181042.5,191051,200409,174834,201935,186968,207606,224039,233634,253239,272283,271081,289961,306234.5,307351.5,312336,333229.5
60,167164,172443.5,178400,184588,180378.5,177163,178631,197371,173115,197507,183979,204037,218404,228984,249643,268465,267392,287459.5,298196,303170.5,308065
61,160647.5,164993,170035,174547,180200.5,176632.5,172765,175815,192342,167940,194084,180660,198476,213780,225342,245735,264426,273541.5,284075.5,293723.5,298572.5
62,153686,156791.5,161080,166393.5,170127,176048.5,177213,169835,173675,189207,164800,190202,175841,193886,210096,221583,241691,263115,272590,279650,289121.5
63,147918.5,150771.5,153869,157397.5,161972.5,166148.5,171470,173964,166165,168298,185496,161263,184602,171578,190383,206266,217645,245170.5,257157.5,267994,274871
64,134697.5,144333.5,147069,149774.5,152782.5,157825,157476,168010,170230,161930,164697,181180,156322,179853,168082,186669,202303,228815,245997.5,252509,263123.5
65,122404.5,131721,141107,143245.5,145325.5,148658,154619,154127,164280,165578,158048,160610,175281,151953,175886,164534,182766,208085.5,228631,241354.5,247682.5
66,115935,119361,128281.5,136954,138508,141059,139362,151053,150909,159028,161672,153892,155003,169945,148326,171913,160816,188415,205649.5,223821,236306.5
67,111105,112871,116294.5,124480,132414.5,134346,138990,135853,146425,145731,154749,157173,147917,150076,165460,144588,167757,168750.5,186990,200989.5,218765.5
68,100726.75,105639.5,110553.25,115201.75,120463.75,125191.5,132628.5,129068.5,138623.5,136457,146147,147080,145907,147823.5,151849.5,143055,162125.5,162181,168450.5,182440,196152.5
69,90348.5,98408,104812,105923.5,108513,116037,126267,122284,130822,127183,137545,136987,143897,145571,138239,141522,156494,146040.5,155772.5,163905,177517.5
70,83477,87075,94885,100972,101733.5,104485,102210,122069,118527,126206,122810,132672,130795,138210,140754,133822,137104,147950.5,147383.5,151354,159191
71,71173.5,80699,84225,91046.5,96795.5,97893.5,102958,98667,117507,113323,121685,118145,126159,125369,133249,135957,129354,135083.5,138514.5,142861,146698.5
72,67536.5,68113.5,77212.5,80426,86745.5,92580.5,89140,99130,95676,112491,108924,116626,112244,120141,120398,128324,131177,130342.5,134256.5,133858,137998
73,62251.5,64613,65181.5,73526,76483.5,82821,91909,85608,94873,90348,107732,104066,110376,106566,114862,115586,123350,122851,125071.5,129418,129071
74,56092,59520.5,61826,61846.5,69513.5,72609,70314,87878,82251,90285,86324,102795,97979,104557,101648,109888,110780,119765,117876,120220.5,124354
75,52657.5,53215,56504,58333,58343,65893.5,71169,67068,83378,77391,85928,81918,96664,92390,99393,96643,104746,110916,115982.5,112941.5,115174
76,41634,49974.5,50649.5,53236,54725,54925.5,57277,67503,64375,78917,73325,81225,76888,90826,87321,94075,91840,101813,107130.5,110622,107725.5
77,37037.5,39253.5,47113.5,47306.5,49516,51191.5,49389,54000,63756,59671,74397,68931,75809,72010,85333,82366,89079,91516.5,97239,101780.5,105097.5
78,36956,34563,36716,43857,43865.5,46143.5,49580,46419,50945,59214,56022,69662,64010,70552,67421,80114,77410,85462,88851,91989,96274.5
79,35097.5,34616.5,32535.5,33964,40249.5,40491,39654,46315,43360,46969,55230,52215,64186,59310,65802,62928,74945,76136.5,80695.5,83620.5,86514.5
80,29882.5,32405.5,32009.5,29853,31020.5,37051.5,38288,36866,43142,39858,43526,50978,48058,59075,54835,61072,58577,71525.5,73762.5,75564.5,78226.5
81,24990.5,27785.5,30123.5,29253.5,27157,28367.5,32914,35347,34224,39258,36738,39955,46028,43951,54347,50435,56464,60490,67193.5,68623,70296.5
82,22662.5,22682.5,25313.5,27373.5,26379,24616,21808,30209,32433,30752,35835,33549,36062,41662,40137,49580,46246,53754.5,58470,62057.5,63294.5
83,18458.5,20703,20772,22805,24497,23707.5,24873,19905,27699,29089,27883,32437,30027,32416,37668,36436,45218,45503,49729,53513.5,56757.5
84,17195.5,16668.5,18736.5,18587.5,20121.5,21812,20433,22565,18335,24707,26314,25084,28585,26710,29078,33830,32972,41769.5,43423.5,45394.5,48699.5
85,15107.5,15504,15075,16672,16325.5,17789.5,20746,18406,20248,15896,21993,23448,21817,25275,23735,25920,30264,33465,37679.5,39128.5,40888.5
86,12503,13646,14050,13328.5,14464,14221,13137,18626,16546,17807,14131,19369,20137,18937,22100,20920,22987,29292.5,32403,33749.5,35067
87,11101.5,11034,12082,12325,11464.5,12574.5,13547,11628,16542,14184,15638,12391,16478,17398,16429,19334,18480,22436,26301.5,28764.5,29850
88,9082,9853.5,9839,10614.5,10605.5,9870.5,10171,11962,10387,14210,12341,13624,10498,14106,15023,14281,16836,18489,21126,23133,25234.5
89,8216,8018,8778,8607,8983,8988.5,8315,8900,10485,8609,12415,10714,11347,8889,12038,12877,12395,15155,16841,18428,20195.5
