,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
54,2363,1878,2019,2364,2389,2573,2644,2914,3119,3270,3232,3299,3301,3514,3601,3626,3750,4046,4201,4131,4375
55,2421,2162,1894,2479,2278,2377,2737,2797,3188,3356,3220,3314,3383,3342,3703,3743,3713,3864,4118,4352,4276
56,2539,2081,2183,2322,2516,2441,2631,2737,3001,3250,3414,3286,3450,3351,3630,3811,3728,3736,4100,4280,4771
57,2577,2168,2154,2704,2626,2607,2551,2754,2965,3113,3193,3414,3385,3469,3753,3656,3997,4003,4161,4302,4794
58,2721,2347,2243,2705,2789,2543,2789,2624,2873,3135,3167,3513,3558,3463,3764,3913,3755,4078,4147,4302,4603
59,2778,2517,2479,2862,2738,2986,2679,3000,2941,3002,3164,3360,3508,3713,3741,3953,4070,4053,4212,4414,4552
60,2912,2526,2596,2998,2847,2917,3098,2858,3110,3039,3145,3465,3373,3591,3936,3909,4074,4035,4218,4573,4756
61,2937,2612,2574,3144,3101,2977,3078,3182,3061,3245,3153,3296,3515,3540,3939,4128,4180,4229,4332,4431,4954
62,3121,2563,2631,3172,3247,3242,3092,3162,3471,3178,3361,3179,3469,3546,3726,4128,4220,4355,4424,4650,4735
63,3099,2786,2631,3371,3254,3364,3469,3372,3359,3601,3346,3466,3294,3427,3680,3903,4099,4364,4542,4657,4971
64,3428,2856,2932,3372,3414,3399,3570,3599,3560,3586,3847,3382,3577,3412,3615,3979,3964,4353,4501,4666,4932
65,2999,2778,2911,3402,3397,3435,3550,3678,3892,3765,3797,3769,3476,3692,3645,3845,4070,4205,4586,4847,5014
66,3172,2561,3127,3516,3575,3392,3703,3810,4043,4038,3688,3793,3998,3604,3917,3884,3908,4242,4558,4630,5273
67,3153,2794,2756,3736,3645,3741,3679,3882,4041,4148,4107,3870,3904,4033,3777,4102,3940,4068,4359,4610,4956
68,3403,2776,2953,3253,3726,3710,3905,3725,4020,4166,4080,4129,3990,4052,4381,3892,4159,4126,4229,4761,4978
69,3057,2991,3007,3597,3401,3827,4010,3943,4109,4422,4188,4296,4543,4201,4182,4479,4104,4313,4251,4390,4915
70,3126,2650,3130,3460,3713,3598,4141,4125,4239,4282,4480,4483,4368,4500,4309,4380,4555,4130,4569,4328,4750
71,2854,2795,2734,3699,3638,3741,3698,4195,4277,4508,4459,4520,4524,4549,4791,4495,4467,4733,4376,4665,4792
72,2852,2594,3040,3380,3999,3791,3987,3978,4397,4548,4633,4426,4723,4565,4697,4818,4556,4719,4874,4542,4929
73,3075,2501,2779,3503,3298,3977,3938,4224,4007,4552,4610,4663,4666,4845,4686,4832,4942,4728,4744,5020,4841
74,2817,2548,2666,3219,3603,3489,4133,3919,4335,4200,4542,4702,4828,4573,4938,4865,4913,5037,4835,4821,5288
75,2827,2486,2817,3126,3146,3658,3573,4230,4297,4512,4228,4726,4944,4806,4908,5058,4811,5242,5343,5020,5198
76,2841,2450,2609,3222,3141,3350,3793,3698,4449,4410,4603,4316,4866,4793,5110,4817,5066,5035,5228,5388,5348
77,2192,2357,2665,3019,3300,3103,3317,3818,3742,4545,4350,4626,4329,4869,4970,5065,4867,5110,5162,5262,5707
78,2631,1879,2510,3205,2913,3461,3246,3523,4064,3843,4520,4347,4590,4309,4923,5060,5004,5030,5117,5296,5603
79,2479,2249,2049,2913,3066,3048,3349,3273,3370,3952,3731,4493,4329,4448,4489,4916,4879,5298,4985,5263,5492
80,2621,2191,2344,2309,2716,2950,2972,3422,3253,3495,3896,3756,4529,4277,4667,4446,4704,5086,5112,5047,5474
81,2205,2189,2285,2698,2124,2693,3046,3045,3467,3352,3402,3957,3849,4289,4444,4589,4428,4828,4926,5207,5288
82,2152,1708,2399,2453,2591,2109,2725,2988,3035,3435,3070,3347,3735,3561,4495,4276,4354,4379,4892,5090,5505
83,1951,1842,1899,2518,2435,2492,2197,2617,2875,2984,3142,3026,3232,3609,3696,4213,4116,4528,4244,4716,5073
84,1756,1537,1894,1923,2393,2327,2425,2041,2597,2845,2718,3201,3000,3064,3639,3538,3989,4038,4197,4366,4884
85,1693,1348,1654,1966,1786,2313,2165,2305,2052,2626,2622,2739,2970,2829,3038,3464,3316,4023,3937,4113,4266
86,1392,1405,1442,1689,1852,1752,2075,2192,2208,1916,2372,2546,2589,2918,2754,2874,3125,3264,3702,3804,4111
87,1298,1061,1444,1422,1450,1649,1657,2039,2042,2140,1696,2187,2326,2311,2611,2422,2586,3070,2948,3649,3655
88,1119,1050,1098,1335,1303,1353,1569,1490,1814,1913,1834,1541,1936,2200,2123,2466,2262,2479,2742,2865,3448
89,930,823,1007,1060,1235,1207,1268,1461,1452,1685,1572,1690,1440,1739,2087,1917,2131,2229,2288,2595,2651
