"age","Lcfit.ax","X1"
0,-5.03677668102427,-0.00337752187215362
1,-6.53392362521239,0.0737537981112468
2,-7.33883363693104,0.0239851507438667
3,-7.55160919039381,0.0270207256737212
4,-7.6301320151698,0.0295959253917063
5,-7.67407537578087,0.0291443514189896
6,-7.73335906419695,0.0285406098932597
7,-7.8073337354545,0.025646745997864
8,-7.84031975037389,0.0193473917572063
9,-7.92360184681082,0.011792279026496
10,-7.93915227789767,0.00940556978991177
11,-7.98150405842334,0.00593211152943429
12,-7.94743266832607,-0.00179561729598744
13,-7.82561886443991,-0.00302271203432379
14,-7.66402304961003,-0.000790468946772686
15,-7.49978608792153,0.000490595032147661
16,-7.44906237131854,0.00655063109628062
17,-7.44874842185706,0.00803520061942175
18,-7.41649310287258,0.00987651955115195
19,-7.38610642729493,0.0126611956216871
20,-7.33856280506588,0.0166677658510374
21,-7.22357046826755,0.0214543332547129
22,-7.17334031396186,0.027871901374621
23,-7.0750019193912,0.0349862872557372
24,-6.97026545859664,0.0391547619645656
25,-6.83038237389645,0.0397202170733707
26,-6.77360405745079,0.0404359185432647
27,-6.70621625818785,0.0391888137486222
28,-6.66044181153997,0.0381233842799963
29,-6.60817631248241,0.0356934380598237
30,-6.58435430714489,0.0320655250142792
31,-6.55500731217686,0.0298569846678253
32,-6.52971931886596,0.0250629733588987
33,-6.50623147240167,0.0219555918234142
34,-6.47980240566146,0.0197614825264363
35,-6.44752852581835,0.0154596865113684
36,-6.4370285771483,0.0134515886098667
37,-6.3944791033022,0.0104144580705224
38,-6.35850501699769,0.00963152695538043
39,-6.3254434578132,0.00743904429686905
40,-6.26674463256222,0.00689575601166741
41,-6.22562575974139,0.00665899935981161
42,-6.17636412353522,0.0062426185902986
43,-6.11301987527065,0.00468494223905996
44,-6.05658773753742,0.0025558341488753
45,-6.00346807356178,0.00446120561610443
46,-5.94485640550139,0.00312502858858556
47,-5.86696405774557,0.00308483180990412
48,-5.80017013049184,0.00586261166579013
49,-5.73217336112764,0.00469985061759283
50,-5.65491427163615,0.0044719617723758
51,-5.59034908721708,0.00508521641905766
52,-5.525982835714,0.00441203226520247
53,-5.43659260083165,0.00427532374834012
54,-5.38126570746443,0.00398280880451034
55,-5.29997856287693,0.00513134208888424
56,-5.20478946745616,0.00668248541073432
57,-5.11767830474513,0.00595361604149173
58,-5.01079561769811,0.0078537106554383
59,-4.91959870387342,0.00760873012093545
60,-4.8286251332389,0.00788044957205731
61,-4.74341961566463,0.00957695750299467
62,-4.64926357205932,0.0111685352935725
63,-4.56150031099932,0.0102819092557017
64,-4.47726456490824,0.0109146211779845
65,-4.38534285467109,0.0105686562764825
66,-4.29534351182614,0.0091492841885255
67,-4.19248226475538,0.00756267449775159
68,-4.10883894803809,0.00627167830230143
69,-4.00612553173837,0.00355859565489096
70,-3.9145555118942,0.00231412028549677
71,-3.82148273546547,0.00144034745873337
72,-3.73674115781721,0.000557629447666774
73,-3.64536108577039,-0.000126547749801499
74,-3.56265575372045,-0.000427350299698287
75,-3.47282064208193,-0.00050034343699477
76,-3.37601088538593,-0.000498127547978169
77,-3.28213308243806,0.000174024045902952
78,-3.19011041475377,0.00101634367824459
79,-3.09619531583855,-8.81380539257e-05
80,-2.99977617015696,0.000967360648353911
81,-2.88683669919294,0.00212996111505522
82,-2.78363881967311,0.00431653279396385
83,-2.68160621324146,0.00416712065743823
84,-2.57059171488421,0.00618312560284673
85,-2.48080348891167,0.00489708983420937
86,-2.39614892272749,0.00605750230285078
87,-2.30000055686646,0.00517353158811403
88,-2.20899805135823,0.00392389598648979
89,-2.13045121099852,0.0031012039448263
90,-2.03348978467659,0.0017765560491022
91,-1.99704713787339,0.000948647328885934
92,-1.90506863579281,0.000301884221177265
93,-1.84562733265577,-0.00145568379369726
94,-1.83840501218668,-0.00260982550879882
95,-1.8280815670262,-0.0072188363064454
96,-1.85065695181923,-0.00709248677559257
97,-1.87696100702845,-0.0109554034856755
98,-1.98223291574131,-0.00989270639965397
99,-2.09240866927138,-0.0131278746878743
100,-2.23513026257186,-0.0173039849859115
