44,437393,437442,457674,483946,489207,496321,508899,529383,544878,539056,538316,551875,553854,544195,551567,550819,553854,544195,551567,550819
45,431551,436189,436900,456214,481655,487543,493213,505245,527156,543422,537724,538655,551124,551825,542974,550373,551124,551825,542974,550373
46,397677,430561,434410,433240,453004,479847,484381,489618,503109,525758,542000,537610,535073,549094,550523,541706,535073,549094,550523,541706
47,369880,396875,429329,432422,431378,451226,476542,480599,487355,501637,524311,531194,533775,532486,547622,549046,533775,532486,547622,549046
48,360817,369310,396103,427690,430429,429563,447996,472792,478387,485928,500133,520790,538878,532141,531001,546113,538878,532141,531001,546113
49,340894,360050,369305,395346,425711,428526,426424,444395,470408,476723,484373,493438,519485,535550,530463,529404,519485,535550,530463,529404
50,327663,340001,358644,366564,392759,423823,425361,422880,442073,468637,475012,483973,496886,517782,533827,528711,496886,517782,533827,528711
51,315296,326547,338921,357522,365256,390826,420434,421572,420433,440261,466894,468844,479188,493321,515948,531960,479188,493321,515948,531960
52,288454,314173,325574,337539,355797,363436,387447,416362,418946,418595,438426,456247,470542,476393,491513,514007,470542,476393,491513,514007
53,266180,287371,312838,323759,335743,353879,360158,383321,413166,416778,416789,435494,462248,467735,474478,489462,462248,467735,474478,489462
54,249021,265095,286150,311238,322015,333799,350565,356302,380189,410533,414707,415921,433156,458723,465727,472419,433156,458723,465727,472419
55,226081,247952,264488,285016,309239,320067,330694,346730,353216,377567,408132,409370,413024,431262,456619,463596,413024,431262,456619,463596
56,217505,224963,246575,262029,282325,307074,316822,326809,343534,350721,375275,393723,406645,407264,429197,454382,406645,407264,429197,454382
57,208271,216289,223887,245121,260154,280248,303654,312850,323763,340961,348371,372517,381996,383165,405171,426928,381996,383165,405171,426928
58,207141,206875,215025,221951,242710,257971,276977,299747,309773,321249,338553,342649,346285,355512,380979,402805,346285,355512,380979,402805
59,208156,205786,205661,213209,219768,240612,254816,273310,296876,307598,319224,331151,350637,350925,353446,378792,350637,350925,353446,378792
60,195690,206548,204688,203974,210871,217709,237505,251184,270656,294830,305494,316393,330038,344173,348437,351045,330038,344173,348437,351045
61,194503,194161,204207,201463,201224,208661,214766,233996,248528,268395,292336,298388,315333,328177,341487,345770,315333,328177,341487,345770
62,195219,192710,192908,203291,199892,199003,205660,211334,231314,246258,265882,282514,303540,315672,325395,338607,303540,315672,325395,338607
63,187778,193382,190682,189957,200200,197465,195880,202085,208641,228893,243695,260622,286358,300142,312795,322396,286358,300142,312795,322396
64,181995,185700,191371,188749,187733,197586,194222,192335,199185,206197,226290,236309,266914,289820,297061,309591,266914,289820,297061,309591
65,173274,179797,183397,188703,186126,185069,194062,190487,189378,196616,203595,218259,244020,269668,286581,293806,244020,269668,286581,293806
66,162659,170993,177782,181186,185985,183340,181562,190054,187271,186696,193883,202717,221925,242048,266216,282989,221925,242048,266216,282989
67,158142,160240,168075,174292,177917,183011,179667,177496,186581,184269,183811,185641,201111,221926,238746,262670,201111,221926,238746,262670
68,149468.5,154693.5,160299.5,164387,170031,175505,175130.5,176037.5,179161.5,177437,181895,187597,192673,202653,218531,235189,192673,202653,218531,235189
69,140795,149147,152524,154482,162145,167999,170594,174579,171742,170605,179979,173671,175947,187636,199297,214909,175947,187636,199297,214909
70,128671,137806,145915,149441,151428,158529,163770,166037,170468,168179,167184,176174,180037,178008,184211,195736,180037,178008,184211,195736
71,118497,125843,134799,142617,145888,147721,154113,159053,161899,166671,164478,164501,166592,169999,174369,180450,166592,169999,174369,180450
72,114352,115558,123103,131573,138755,141996,143446,149414,154550,157775,162615,160855,164702,167611,166243,170596,164702,167611,166243,170596
73,104712,111210,112654,119479,127499,134766,137456,138629,144792,150229,153608,155906,155614,159592,163598,162313,155614,159592,163598,162313
74,93935,101563,108071,109436,115778,123496,130227,132615,134011,140316,145843,150081,154721,151983,155313,159358,154721,151983,155313,159358
75,85808,90696,97993,104135,105689,111872,119043,125255,127698,129371,135610,137769,145310,150681,147576,150744,145310,150681,147576,150744
76,72435,82596,87769,95061,100525,101767,107589,114237,120230,122836,124610,131138,138631,142710,145894,142862,138631,142710,145894,142862
77,67679,69460,79227,83762,90794,96445,97596,102884,109185,115150,117805,118625,125373,132928,137661,140830,125373,132928,137661,140830
78,61563,64585,66764,75889,79877,86779,92195,93081,97935,104123,109953,112496,119230,124759,127771,132425,119230,124759,127771,132425
79,55801,58515,61380,63041,71684,75831,82470,87547,88335,93009,98980,102054,108042,114469,119291,122289,108042,114469,119291,122289
80,51894,52702,55388,58046,59533,67640,71662,77818,82427,83381,87965,93500,102355,105583,108917,113574,102355,105583,108917,113574
81,40835,48725,49688,52084,54388,55877,63279,66997,72925,77282,78315,81036,90261,98333,99880,103032,90261,98333,99880,103032
82,36007,38081,45501,46133,48312,50638,52041,58857,62287,67983,72266,74598,80603,87557,92452,93922,80603,87557,92452,93922
83,35103,33376,35397,42162,42632,44681,46845,47993,54204,57561,63059,64140,69988,76775,81870,86347,69988,76775,81870,86347
84,33236,32311,31112,32845,38669,39036,40841,42769,43787,49535,52837,58468,65061,67713,71306,76021,65061,67713,71306,76021
85,27918,30336,29414,27848,29521,35143,35384,36951,38656,39645,44959,46525,53476,59826,62413,65627,53476,59826,62413,65627
86,22344,25243,27701,26830,25191,26639,31504,31635,33165,34721,35724,39915,47751,52539,54656,56964,47751,52539,54656,56964
87,19968,19994,22620,24668,23906,22590,23745,27884,27960,29439,30936,32392,37470,43791,47518,49372,37470,43791,47518,49372
88,15914,17716,18006,20233,21818,21164,19912,20841,24462,24559,25903,26464,30975,35822,39110,42378,30975,35822,39110,42378
89,14660,14058,15583,15551,17569,19201,18453,17243,18029,21226,21438,22950,25645,28860,31660,34569,25645,28860,31660,34569
90,12446,12813,12053,13245,13396,15167,16448,15742,14716,15460,18298,18311,20256,22784,25195,27585,20256,22784,25195,27585
91,10615,10725,10543,10994.5,10748.5,12265,13013.5,13105,13067,13319.5,14409.5,15026,17566,18943,19660,21698,17566,18943,19660,21698
92,8784,8637,9033,8744,8101,9363,9579,10468,11418,11179,10521,11741,13908,15370,16107,16681,13908,15370,16107,16681
93,7006,7565,7166,7063,6986,6744,7664,7730,8621,9493,9306,8694,10183,12414,12962,13486,10183,12414,12962,13486
94,6481,6043,6236,5561,5721,5864,5522,6228,6285,7059,7858,8001,8547,9596,10363,10750,8547,9596,10363,10750
95,5401,5683,4968,4800,4391,4740,4775,4433,5046,5125,5842,6037,6357,6925,7924,8541,6357,6925,7924,8541
96,4292,4770,4798,3799,3804,3682,3820,3766,3545,4101,4256,5069,5980,5691,5679,6479,5980,5691,5679,6479
97,3764,3757,3880,3647,3015,3208,3013,3014,2948,2835,3379,3379,4124,4967,4733,4645,4124,4967,4733,4645
98,3101,3343,3172,2878,2793,2549,2602,2367,2434,2392,2303,2743,3659,4124,4157,3874,3659,4124,4157,3874
99,3015,2803,2735,2318,2306,2425,2060,2016,1886,1997,1985,2036,2402,3129,3515,3460,2402,3129,3515,3460
100,2526,2737,2335,2033,1818,1971,1969,1600,1568,1496,1690,1600,1926,2318,2630,2958,1926,2318,2630,2958
